id,lifeSat,age,emplStat55,healthSat,livtog
41701,8,60,1,8,0
41901,8,55,3,3,0
41901,4,56,3,0,0
41901,7,57,3,0,0
41901,1,58,3,1,0
41901,7,59,3,4,0
41901,0,60,3,10,0
43301,6,55,1,9,1
43301,6,56,1,8,1
43301,7,57,1,7,1
43301,7,58,1,8,1
43301,8,59,1,9,1
43301,7,60,1,9,1
43701,4,55,3,6,0
43701,6,56,3,6,0
43701,5,57,3,8,0
44001,8,55,2,5,1
44001,7,56,2,7,1
44002,8,55,1,7,0
44002,8,56,1,7,0
44002,8,57,1,9,0
44002,7,58,1,8,0
44002,8,59,1,6,0
44002,7,60,1,6,0
44201,7,60,1,3,0
44301,5,55,3,0,0
44301,4,56,3,4,0
44501,10,55,1,7,1
44501,8,56,1,6,1
44501,6,57,1,8,1
44501,6,58,1,3,1
44501,8,59,1,8,1
44501,8,60,1,8,1
44701,7,55,1,6,1
44701,9,56,1,7,1
44701,8,57,1,8,1
44701,8,58,1,8,1
45301,10,55,1,6,1
45501,5,55,1,6,1
45501,7,56,1,7,1
45501,7,57,1,6,1
45501,6,58,1,7,1
45501,6,59,1,7,1
45501,7,60,1,7,1
45601,4,55,3,7,0
46401,8,55,1,4,1
46401,10,56,1,5,1
46402,10,55,2,10,0
46402,10,56,2,8,0
46402,9,57,2,10,0
46402,9,58,2,5,0
46402,10,59,2,10,0
46402,10,60,2,9,0
46601,7,55,1,3,0
46601,7,56,1,4,0
46601,8,57,1,7,0
46601,7,58,1,6,0
47001,5,56,2,8,0
47001,6,57,2,5,0
47001,10,58,2,7,0
47801,4,55,3,8,0
47801,5,56,3,0,0
48101,8,55,1,8,1
48101,9,56,1,8,0
48101,8,57,1,8,0
48101,9,58,1,7,0
48101,10,59,1,8,0
48101,9,60,1,8,1
48801,8,55,1,8,1
48801,8,56,1,8,1
48801,8,57,1,8,1
48801,8,58,1,8,1
48801,8,59,1,7,1
48801,10,60,1,10,1
49401,8,55,1,8,1
49401,8,56,1,6,1
49401,8,57,1,5,1
49401,7,58,1,6,1
49401,7,59,1,6,1
49401,8,60,1,7,1
50301,7,55,1,6,1
50301,8,56,1,6,1
50301,7,57,1,6,1
50301,7,58,1,7,1
50301,7,59,1,6,1
50301,7,60,1,6,1
50701,8,55,1,7,0
50701,8,56,1,9,0
50701,7,57,1,8,0
50701,7,58,1,6,0
50701,8,59,1,7,0
